line_no, Core 0 lines , Core 1 lines
445 , 67 , 0
446 , 25 , 0
447 , 19 , 0
448 , 14 , 42
449 , 35 , 16
450 , 44 , 17
451 , 25 , 14
452 , 20 , 0
453 , 19 , 33
454 , 0 , 42
455 , 54 , 17
456 , 0 , 15
457 , 64 , 52
458 , 14 , 38
459 , 54 , 8
460 , 19 , 30
461 , 0 , 0
462 , 45 , 11
463 , 11 , 24
464 , 41 , 34
465 , 25 , 36
466 , 13 , 41
467 , 37 , 14
468 , 27 , 28
469 , 15 , 26
470 , 37 , 10
471 , 19 , 0
472 , 36 , 15
473 , 15 , 6
474 , 70 , 46
475 , 19 , 0
476 , 32 , 37
477 , 61 , 69
478 , 12 , 0
479 , 23 , 10
480 , 17 , 12
481 , 83 , 20
482 , 9 , 39
483 , 20 , 25
484 , 49 , 57
485 , 32 , 19
486 , 33 , 66
487 , 30 , 0
488 , 30 , 31
489 , 34 , 8
490 , 13 , 27
491 , 25 , 0
492 , 13 , 17
493 , 20 , 24
494 , 63 , 15
495 , 26 , 31
496 , 80 , 11
497 , 11 , 12
498 , 38 , 5
499 , 32 , 12
500 , 0 , 44
501 , 26 , 68
502 , 15 , 12
503 , 20 , 0
504 , 45 , 9
505 , 24 , 19
506 , 20 , 0
507 , 31 , 6
508 , 23 , 85
509 , 0 , 59
510 , 11 , 14
511 , 0 , 21
512 , 22 , 32
513 , 11 , 55
514 , 19 , 21
515 , 11 , 11
516 , 44 , 19
517 , 41 , 20
518 , 21 , 11
519 , 0 , 44
520 , 37 , 41
521 , 0 , 67
522 , 55 , 27
523 , 8 , 11
524 , 46 , 26
525 , 57 , 0
526 , 27 , 32
527 , 14 , 86
528 , 29 , 30
529 , 0 , 60
530 , 26 , 0
531 , 45 , 37
532 , 51 , 79
533 , 0 , 38
534 , 37 , 37
535 , 15 , 43
536 , 38 , 77
537 , 0 , 0
538 , 80 , 0
539 , 20 , 19
540 , 0 , 32
541 , 0 , 26
542 , 23 , 89
543 , 20 , 0
544 , 39 , 51
545 , 0 , 8
546 , 68 , 38
547 , 0 , 51
548 , 23 , 19
549 , 108 , 0
550 , 49 , 36
551 , 0 , 39
552 , 20 , 15
553 , 22 , 39
554 , 25 , 13
555 , 10 , 36
556 , 11 , 40
557 , 47 , 0
558 , 8 , 51
559 , 34 , 10
560 , 48 , 27
561 , 41 , 7
562 , 14 , 33
563 , 33 , 23
564 , 0 , 51
565 , 40 , 37
566 , 0 , 12
567 , 0 , 48
568 , 48 , 0
569 , 24 , 22
570 , 22 , 42
571 , 13 , 12
572 , 15 , 11
573 , 31 , 27
574 , 21 , 54
575 , 22 , 44
576 , 31 , 19
577 , 15 , 26
578 , 12 , 10
579 , 26 , 10
580 , 18 , 23
581 , 0 , 0
582 , 45 , 7
583 , 31 , 15
584 , 35 , 0
585 , 48 , 0
586 , 28 , 41
587 , 20 , 13
588 , 7 , 39
589 , 49 , 46
590 , 28 , 31
591 , 38 , 0
592 , 13 , 42
593 , 26 , 30
594 , 14 , 6
595 , 72 , 26
596 , 55 , 46
597 , 14 , 42
598 , 13 , 28
599 , 58 , 35
600 , 33 , 23
601 , 45 , 22
602 , 64 , 28
603 , 16 , 31
604 , 5 , 9
605 , 38 , 34
606 , 43 , 49
607 , 0 , 14
608 , 24 , 12
609 , 71 , 0
610 , 43 , 12
611 , 29 , 52
612 , 0 , 22
613 , 12 , 38
614 , 54 , 24
615 , 0 , 56
616 , 15 , 87
617 , 0 , 0
618 , 51 , 22
619 , 0 , 14
620 , 0 , 0
621 , 0 , 37
622 , 31 , 46
623 , 47 , 41
624 , 9 , 0
625 , 50 , 0
626 , 24 , 16
627 , 0 , 8
628 , 0 , 0
629 , 56 , 39
630 , 0 , 24
631 , 12 , 22
632 , 14 , 13
633 , 7 , 13
634 , 23 , 49
635 , 53 , 14
636 , 16 , 10
637 , 83 , 0
638 , 26 , 58
639 , 18 , 11
640 , 0 , 25
641 , 0 , 28
642 , 41 , 27
643 , 38 , 25
644 , 37 , 35
645 , 43 , 12
646 , 0 , 7
647 , 0 , 13
648 , 62 , 53
649 , 28 , 48
650 , 21 , 0
651 , 14 , 26
652 , 40 , 12
653 , 0 , 0
654 , 27 , 66
655 , 28 , 15
656 , 20 , 9
657 , 22 , 0
658 , 62 , 10
659 , 0 , 28
660 , 0 , 19
661 , 85 , 30
662 , 11 , 0
663 , 30 , 12
664 , 19 , 17
665 , 15 , 19
666 , 14 , 25
667 , 23 , 5
668 , 28 , 14
669 , 46 , 27
670 , 28 , 18
671 , 19 , 26
672 , 27 , 37
673 , 31 , 4
674 , 0 , 6
675 , 109 , 12
676 , 0 , 0
677 , 36 , 11
678 , 0 , 31
679 , 20 , 12
680 , 14 , 34
681 , 55 , 23
682 , 53 , 0
683 , 33 , 16
684 , 8 , 43
685 , 96 , 0
686 , 10 , 21
687 , 40 , 26
688 , 27 , 17
689 , 0 , 0
690 , 0 , 0
691 , 55 , 41
692 , 21 , 54
693 , 9 , 46
694 , 49 , 28
695 , 13 , 40
696 , 12 , 19
697 , 21 , 0
698 , 46 , 38
699 , 21 , 81
700 , 39 , 15
701 , 50 , 77
702 , 32 , 8
703 , 18 , 26
704 , 20 , 35
705 , 50 , 0
706 , 0 , 10
707 , 40 , 29
708 , 0 , 0
